1;7;1;0
2;7;1;0
3;1;1;0
4;1;1;0
5;1;1;0
6;1;1;0
7;1;1;0
8;1;1;1
9;1;1;1
10;1;1;1
11;1;1;1
12;321;1;1
13;282;1;1
14;242;1;1
15;202;1;1
16;154;1;2
17;121;1;2
18;82;1;2
19;81;1;2
20;42;1;2
21;42;1;2
22;2;1;2
24;2;2;3
25;1;1;3
26;1;1;3
27;1;1;3
28;1;1;3
29;1;1;3
30;1;1;3
31;1;1;3
32;1;1;4
33;1;1;4
34;2;1;4
35;1;1;4
36;1;1;4
37;2;1;4
38;1;1;4
39;2;1;4
40;1;1;5
41;1;1;5
42;1;1;5
43;1;1;5
44;1;1;5
45;1;1;5
46;1;1;5
47;1;1;5
48;2;1;6
49;2;1;6
50;1;1;6
51;1;1;6
52;2;1;6
53;1;1;6
54;1;1;6
55;1;1;6
56;1;1;7
57;1;1;7
58;1;1;7
59;2;1;7
60;1;1;7
61;1;1;7
62;2;1;7
63;1;1;7
64;2;1;8
65;2;1;8
66;1;1;8
67;1;1;8
68;1;1;8
69;1;1;8
70;1;1;8
71;1;1;8
72;2;1;9
73;2;1;9
74;4;1;9
75;3;1;9
76;3;1;9
77;3;1;9
78;1;1;9
79;1;1;9
80;1;1;10
81;1;1;10
82;1;1;10
83;1;1;10
84;1;1;10
85;1;1;10
86;1;1;10
87;1;1;10
88;1;1;11
89;1;1;11
90;1;1;11
91;1;1;11
92;1;1;11
93;2;1;11
94;1;1;11
95;2;1;11
96;2;1;12
97;2;1;12
98;1;1;12
99;1;1;12
100;1;1;12
101;1;1;12
102;1;1;12
103;1;1;12
104;2;1;13
105;1;1;13
106;2;1;13
107;1;1;13
108;1;1;13
109;1;1;13
110;1;1;13
111;1;1;13
112;2;1;14
113;2;1;14
114;1;1;14
115;1;1;14
116;1;1;14
117;1;1;14
118;1;1;14
119;1;1;14
120;1;1;15
121;1;1;15
122;1;1;15
123;1;1;15
124;1;1;15
125;1;1;15
126;1;1;15
127;1;1;15
128;2;1;16
129;1;1;16
130;1;1;16
131;1;1;16
132;1;1;16
133;1;1;16
134;1;1;16
135;0;1;16
136;1;1;17
137;1;1;17
138;1;1;17
139;13;1;17
140;1;1;17
141;2;1;17
142;1;1;17
143;1;1;17
144;1;1;18
145;1;1;18
146;1;1;18
147;1;1;18
148;1;1;18
149;1;1;18
150;1;1;18
151;1;1;18
152;1;1;19
153;1;1;19
154;1;1;19
155;1;1;19
156;2;1;19
157;1;1;19
160;1;3;20
161;1;1;20
162;1;1;20
163;1;1;20
164;2;1;20
165;1;1;20
166;1;1;20
167;2;1;20
168;1;1;21
169;1;1;21
170;1;1;21
171;1;1;21
172;1;1;21
173;11;1;21
174;1;1;21
175;1;1;21
176;2;1;22
177;1;1;22
178;1;1;22
179;1;1;22
180;1;1;22
181;1;1;22
182;1;1;22
183;1;1;22
184;1;1;23
185;1;1;23
186;1;1;23
187;1;1;23
188;1;1;23
189;1;1;23
190;1;1;23
191;1;1;23
192;1;1;24
193;1;1;24
194;1;1;24
195;1;1;24
196;1;1;24
197;1;1;24
198;1;1;24
199;1;1;24
200;2;1;25
201;1;1;25
202;1;1;25
203;1;1;25
204;1;1;25
205;1;1;25
206;1;1;25
207;1;1;25
208;2;1;26
209;1;1;26
210;1;1;26
211;1;1;26
212;1;1;26
213;1;1;26
214;1;1;26
215;1;1;26
216;1;1;27
217;1;1;27
218;1;1;27
219;1;1;27
220;1;1;27
221;1;1;27
222;1;1;27
223;1;1;27
224;1;1;28
225;1;1;28
226;1;1;28
227;2;1;28
228;1;1;28
229;1;1;28
230;1;1;28
231;1;1;28
232;2;1;29
233;1;1;29
234;1;1;29
235;1;1;29
236;1;1;29
237;1;1;29
238;1;1;29
239;1;1;29
240;1;1;30
241;1;1;30
242;2;1;30
243;1;1;30
244;1;1;30
245;1;1;30
246;1;1;30
247;1;1;30
248;1;1;31
249;1;1;31
250;1;1;31
251;1;1;31
252;1;1;31
253;2;1;31
254;1;1;31
255;2;1;31
256;2;1;32
257;1;1;32
258;1;1;32
259;1;1;32
260;1;1;32
261;2;1;32
262;1;1;32
263;1;1;32
264;2;1;33
